Date,Description,Category,Amount
2025-02-04,PAYMENT THANK YOU/PAIEMEN T MERCI,Bill payment,-727.19
2025-02-03,"SCRUPLES SALON AND SPA WOODBRIDGE, ON",Cosmetics,116.20
2025-02-03,"CHICK-FIL-A-RUTHERFORD CONCORD, ON",Meals & Drinks,26.58
2025-01-30,"Subway 15951 Montreal, QC",Meals & Drinks,14.62
2025-01-30,"CHEF ON CALL MONTREAL, QC",Meals & Drinks,6.87
2025-01-28,"THAI EXPRESS - 2119 MONTREAL, QC",Meals & Drinks,17.24
2025-01-27,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,10.27
2025-01-27,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,5.33
2025-01-27,"TIM HORTONS #2593 MONTREAL, QC",Meals & Drinks,6.14
2025-01-24,"UNIPRIX LA CITE MONTREAL, QC",Cosmetics,15.86
2025-01-24,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,8.99
2025-01-23,"JOHN WILEY & SONS CENTRAL TORON, ON",School,64.41
2025-01-22,"UNIPRIX LA CITE MONTREAL, QC",Miscellaneous,27.11
2025-01-21,PAYMENT THANK YOU/PAIEMEN T MERCI,Bill payment,-250.00
2025-01-20,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,9.89
2025-01-20,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,3.84
2025-01-17,"VIA RAIL/540046 MONTREAL, QC",Transportation,247.20
2025-01-17,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,4.03
2025-01-17,"HM St. Catherine Montreal, QC",Clothing,124.30
2025-01-16,"DOLLARAMA # 45 MONTREAL, QC",Miscellaneous,1.65
2025-01-16,"CAFE BISTRO SAINT BARTH MONTREAL, QC",Meals & Drinks,5.22
2025-01-16,PAYMENT THANK YOU/PAIEMEN T MERCI,Bill payment,-301.39
2025-01-16,"UNIPRIX LA CITE MONTREAL, QC",Cosmetics,30.09
2025-01-16,"TIM HORTONS #2593 MONTREAL, QC",Meals & Drinks,15.26
2025-01-15,"DANA HOSPITALITY LP MONTREAL, QC",Meals & Drinks,7.36
2025-01-15,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,4.88
2025-01-14,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,3.79
2025-01-13,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,8.51
2025-01-13,"SECOND CUP 9219 MONTREAL, QC",Meals & Drinks,5.44
2025-01-13,"Subway 15951 Montreal, QC",Meals & Drinks,18.23
2025-01-13,"RESTAURANT ST MONT TRE MT-TREMBLANT, QC",Meals & Drinks,9.64
2025-01-13,"RESTAURANT ST MONT TRE MT-TREMBLANT, QC",Meals & Drinks,20.38
2025-01-13,"RESTAURANT ST MONT TRE MT-TREMBLANT, QC",Meals & Drinks,10.80
2025-01-13,"FESTIVAL IGLOO MONTREAL, QC",Entertainment,90.83
2025-01-13,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,18.25
2025-01-13,"EVENTBRITE/18MCGILLFRO SAINT JOHN, NB",Entertainment,30.00
2025-01-13,"STARBUCKS COFFEE #8279 MONTREAL, QC",Meals & Drinks,9.24
2025-01-09,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,4.59
2025-01-09,"HARVARD BUS EDUCATION 617-783-7600, MA 39.20 USD @ 1.473469",School,57.76
2025-01-08,"MCGILL BOOKSTORE ECOMM MONTREAL, QC",School,112.49
2025-01-08,"ZYBOOK COLLEGE TXTBOOK ZYBOOKS.COM, CA 89.00 USD @ 1.473483",School,131.14
2025-01-07,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,31.97
2025-01-06,"FORTINOS MAJOR MACKENZ MAPLE, ON",Food & Snacks,3.96
2025-01-06,"EXPRESS TOURS MCMASTERVILLE, QC",Activities,81.00
2025-01-06,PAYMENT THANK YOU/PAIEMEN T MERCI,Bill payment,-793.69
2024-12-24,"SHOPPERS DRUG MART #12 VAUGHAN, ON",Miscellaneous,4.79
2024-12-23,"TIM HORTONS #2914 NIAGARA FALLS, ON",Meals & Drinks,7.08
2024-12-23,"Crocs Vaughan, ON",Gifts,12.41
2024-12-23,"BATH AND BODY WORKS #6013 VAUGHAN, ON",Gifts,58.14
2024-12-23,"TIM HORTONS #5797 VAUGHAN, ON",Meals & Drinks,10.28
2024-12-23,"TOYS R US #3574 CONCORD, ON",Gifts,25.98
2024-12-23,"SEPHORA VAUGHAN MILLS VAUGHAN, ON",Gifts,33.90
2024-12-23,"WINNERSHOMESENSE 36803 VAUGHAN, ON",Gifts,46.87
2024-12-23,"STARBUCKS 04612 CONCORD, ON",Meals & Drinks,2.95
2024-12-23,PAYMENT THANK YOU/PAIEMEN T MERCI,Bill payment,-300.00
2024-12-16,"SP FLOWER GALLERY TORONTO, ON",Gifts,129.92
2024-12-16,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,1.73
2024-12-16,"TIM HORTONS #2593 MONTREAL, QC",Meals & Drinks,4.24
2024-12-13,"UNIPRIX LA CITE MONTREAL, QC",Cosmetics,12.18
2024-12-13,"HM St. Catherine Montreal, QC",Clothing,69.13
2024-12-12,"COUCHE-TARD #1348 MONTREAL, QC",Meals & Drinks,9.20
2024-12-12,"RESTAURANT LE PHO MONTREAL, QC",Meals & Drinks,16.68
2024-12-11,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,16.03
2024-12-09,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,7.78
2024-12-09,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,4.60
2024-12-06,"Etsy.com*VitalSportsDesig Toronto, ON",Gifts,40.59
2024-12-06,"EXPRESS TOURS MCMASTERVILLE, QC",Activities,-23.99
2024-12-06,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,15.28
2024-12-06,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,4.93
2024-12-05,"TIM HORTONS #2593 MONTREAL, QC",Meals & Drinks,9.52
2024-12-04,"GAP.COM 4584 800-427-7895, ON",Clothing,56.50
2024-12-04,"ca.shein.com 888-8519181, ON",Clothing,31.49
2024-12-04,"Subway 24494 Montreal, QC",Meals & Drinks,10.91
2024-12-04,"VIA RAIL/JUH8Q5 MONTREAL, QC",Transportation,180.51
2024-12-04,"VIA RAIL/2RNA2L MONTREAL, QC",Transportation,133.34
2024-12-04,"TIM HORTONS #2593 MONTREAL, QC",Meals & Drinks,15.14
2024-12-04,PAYMENT THANK YOU/PAIEMEN T MERCI,Bill payment,-200.00
2024-12-04,"GLOBAL-E* EDIKTED VANCOUVER, BC",Clothing,109.78
2024-12-03,"DOLLARAMA # 45 MONTREAL, QC",Food & Snacks,5.75
2024-12-02,"SP MANSCAPED CHECKOUT.MANS, NV",Gifts,79.65
2024-12-02,"MARCHE AVE DU PARC 211 MONTREAL, QC",Food & Snacks,7.99
2024-12-02,PAYMENT THANK YOU/PAIEMEN T MERCI,Bill payment,-536.55
2024-11-28,"SOFEVENTS MONTREAL, QC",Entertainment,30.00
2024-11-28,"Subway 15951 Montreal, QC",Meals & Drinks,14.59
